accuracy,avg_valid_rank,rank,avg_valid_len,len
0.0000,0.0000,-1,0.0000,2
0.0000,0.0000,-1,0.0000,3
0.3333,1.0000,1,4.0000,4
0.2500,1.0000,-1,4.0000,1
0.2000,1.0000,-1,4.0000,2
0.3333,1.0000,1,3.5000,3
0.4286,0.6667,0,3.6667,4
0.5000,0.5000,0,4.0000,5
0.4444,0.5000,-1,4.0000,6
0.5000,0.6000,1,4.6000,7
0.4545,0.6000,-1,4.6000,1
0.4167,0.6000,-1,4.6000,2
0.4615,0.8333,2,4.3333,3
0.4286,0.8333,-1,4.3333,4
0.4000,0.8333,-1,4.3333,5
0.4375,1.0000,2,4.5714,6
0.4706,1.1250,2,4.8750,7
0.4444,1.1250,-1,4.8750,1
0.4737,1.0000,0,4.5556,2
0.4500,1.0000,-1,4.5556,3
0.4762,0.9000,0,4.5000,4
0.4545,0.9000,-1,4.5000,5
0.4348,0.9000,-1,4.5000,6
0.4583,1.0000,2,4.7273,7
0.4800,1.0000,1,5.0000,8
0.4615,1.0000,-1,5.0000,9
0.4815,1.0000,1,5.3846,10
0.4643,1.0000,-1,5.3846,1
0.4828,0.9286,0,5.1429,2
0.4667,0.9286,-1,5.1429,3
0.4839,0.8667,0,5.0667,4
0.4688,0.8667,-1,5.0667,5
0.4545,0.8667,-1,5.0667,6
0.4706,1.2500,7,5.1875,7
0.4571,1.2500,-1,5.1875,8
0.4444,1.2500,-1,5.1875,9
0.4595,1.2941,2,5.4706,10
0.4474,1.2941,-1,5.4706,11
0.4615,1.2222,0,5.8333,12
0.4500,1.2222,-1,5.8333,13
0.4634,1.1579,0,6.2632,14
0.4524,1.1579,-1,6.2632,15
0.4419,1.1579,-1,6.2632,16
0.4545,1.1500,1,6.8000,17
0.4444,1.1500,-1,6.8000,18
0.4565,1.3810,6,7.3810,19
0.4468,1.3810,-1,7.3810,1
0.4375,1.3810,-1,7.3810,2
0.4490,1.3182,0,7.1818,3
0.4400,1.3182,-1,7.1818,4
0.4510,1.4783,5,7.0870,5
0.4615,1.7917,9,7.0417,6
0.4528,1.7917,-1,7.0417,7
0.4444,1.7917,-1,7.0417,8
0.4545,1.7200,0,7.1200,9
0.4464,1.7200,-1,7.1200,10
0.4386,1.7200,-1,7.1200,1
0.4310,1.7200,-1,7.1200,2
0.4407,1.6923,1,6.9615,3
0.4500,1.9630,9,6.8519,4
0.4426,1.9630,-1,6.8519,5
0.4355,1.9630,-1,6.8519,1
0.4286,1.9630,-1,6.8519,2
0.4375,2.0000,3,6.7143,3
0.4308,2.0000,-1,6.7143,4
0.4394,2.1724,7,6.6552,5
0.4328,2.1724,-1,6.6552,6
0.4265,2.1724,-1,6.6552,1
0.4348,2.1333,1,6.5000,2
0.4286,2.1333,-1,6.5000,3
0.4225,2.1333,-1,6.5000,4
0.4306,2.1935,4,6.4516,5
0.4384,2.1250,0,6.4375,6
0.4324,2.1250,-1,6.4375,7
0.4267,2.1250,-1,6.4375,8
0.4211,2.1250,-1,6.4375,9
0.4156,2.1250,-1,6.4375,10
0.4231,2.2424,6,6.5758,11
0.4177,2.2424,-1,6.5758,12
0.4125,2.2424,-1,6.5758,13
0.4074,2.2424,-1,6.5758,14
0.4024,2.2424,-1,6.5758,15
0.4096,2.1765,0,6.8529,16
0.4048,2.1765,-1,6.8529,17
0.4000,2.1765,-1,6.8529,18
0.4070,2.1429,1,7.2000,19
0.4138,2.1111,1,7.5556,20
0.4091,2.1111,-1,7.5556,21
0.4157,2.0541,0,7.3784,1
0.4111,2.0541,-1,7.3784,2
0.4066,2.0541,-1,7.3784,3
0.4130,2.1842,7,7.2895,4
0.4194,2.3077,7,7.2308,5
0.4255,2.3250,3,7.2000,6
0.4316,2.4878,9,7.1951,7
0.4375,2.4524,1,7.2143,8
0.4330,2.4524,-1,7.2143,9
0.4388,2.4419,2,7.2791,10
0.4343,2.4419,-1,7.2791,11
0.4300,2.4419,-1,7.2791,12
